Rank,Title,Year,Rating,Director
8.049753656091305,Ford против Ferrari,2019,8.0,James Mangold 
8.048443196742323,Отель «Руанда»,2004,8.0,Terry George 
8.046673838788003,Рокки,1976,8.0,John G. Avildsen 
8.044119147149777,Взвод,1986,8.0,Oliver Stone 
8.043127117323328,Рататуй,2007,8.0,Brad Bird 
8.041017792666125,В центре внимания,2015,8.0,Tom McCarthy 
8.040468272699318,Логан,2017,8.0,James Mangold 
8.04005938953153,Терминатор,1984,8.0,James Cameron 
8.037137336190662,Останься со мной,1986,8.0,Rob Reiner 
8.03522855792243,Гонка,2013,8.0,Ron Howard 
8.034550563152663,Телесеть,1976,8.0,Sidney Lumet 
8.032601774894689,Перед закатом,2004,8.0,Richard Linklater 
8.031226910463737,В диких условиях,2007,8.0,Sean Penn 
8.030440867014889,Волшебник страны Оз,1939,8.0,Victor Fleming 
8.028491463128125,Лучшие годы нашей жизни,1946,8.0,William Wyler 
8.026992982730135,День сурка,1993,8.0,Harold Ramis 
8.026588795671422,Изгоняющий дьявола,1973,8.0,William Friedkin 
8.024931849487444,Суперсемейка,2004,8.0,Brad Bird 
8.02475854702194,Pather Panchali,1955,8.0,Satyajit Ray 
8.024373267604537,Ненависть,1995,8.0,Mathieu Kassovitz 
8.024255615657227,To Be or Not to Be,1942,8.0,Ernst Lubitsch 
8.023350185839439,Пираты Карибского моря: Проклятие Чёрной жемчужины,2003,8.0,Gore Verbinski 
8.022078214589063,Хатико: самый верный друг,2009,8.0,Lasse Hallström 
8.022056475007261,Гроздья гнева,1940,8.0,John Ford 
8.021719561399692,La battaglia di Algeri,1966,8.0,Gillo Pontecorvo 
8.021096123609995,Да прольётся свет,2021,8.0,T.J. Gnanavel 
8.020117233674142,Мой отец и мой сын,2005,8.0,Çagan Irmak 
8.019549930237584,Сука любовь,2000,8.0,Alejandro G. Iñárritu 
8.018711221536497,Ребекка,1940,8.0,Alfred Hitchcock 
8.018263222175884,Хладнокровный Люк,1967,8.0,Stuart Rosenberg 
8.017232748554207,Служанка,2016,8.0,Park Chan-wook 
8.013535077152648,Четыреста ударов,1959,8.0,François Truffaut 
8.013092715200521,Звуки музыки,1965,8.0,Robert Wise 
8.012641841540718,Это случилось однажды ночью,1934,8.0,Frank Capra 
8.011305229835008,Персона,1966,8.0,Ingmar Bergman 
8.009017135352662,Житие Брайана по Монти Пайтон,1979,8.0,Terry Jones 
8.005864868198358,Стальной гигант,1999,8.0,Brad Bird 
8.00558149326168,Прислуга,2011,8.0,Tate Taylor 
8.004498739269314,Дерсу Узала,1975,8.0,Akira Kurosawa 
8.003844901858653,Аладдин,1992,8.0,Ron Clements 
8.001486795137453,Танцующий с волками,1990,8.0,Kevin Costner 
